,tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,genre_labels
44,1409999,World War II: A History of WWII (Part 2),2001-01-01,2001,en,"[99, 36, 10752]",15.6017,0.0,0,"This documentary begins with the story of the prelude to World War II, and goes on to analyze such events as the Treaty of Versailles, the League of Nations, rise of the dictators, the spread of fascism in Italy, the Japanese invasion of Manchuria, the Spanish Civil War, the Munich Agreement, Hitler's March into Czechoslovakia, the Blitzkrieg and invasion of Poland, the fall of Norway, and more.","['Documentary', 'History', 'War']"
45,161,Ocean's Eleven,2001-12-07,2001,en,"[53, 80]",12.3042,7.5,12312,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","['Thriller', 'Crime']"
46,1734,The Mummy Returns,2001-05-04,2001,en,"[12, 28, 14]",11.2815,6.393,7497,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.","['Adventure', 'Action', 'Fantasy']"
47,644,A.I. Artificial Intelligence,2001-06-29,2001,en,"[18, 878, 12]",13.5151,7.054,6521,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.","['Drama', 'Science Fiction', 'Adventure']"
48,9778,Serendipity,2001-10-05,2001,en,"[35, 10749]",10.9645,6.953,2090,"Although strangers Sara and Jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again.","['Comedy', 'Romance']"
49,855,Black Hawk Down,2001-12-28,2001,en,"[28, 10752, 36]",10.9488,7.39,6199,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.","['Action', 'War', 'History']"
50,2057,Original Sin,2001-05-08,2001,en,"[53, 18, 9648, 10749]",10.1362,6.1,880,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp.","['Thriller', 'Drama', 'Mystery', 'Romance']"
51,12508,Rock Star,2001-09-04,2001,en,"[10402, 18, 35]",9.5589,6.7,796,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his bandmates kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest.","['Music', 'Drama', 'Comedy']"
52,1018,Mulholland Drive,2001-06-06,2001,en,"[53, 18, 9648]",11.7691,7.8,6854,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.","['Thriller', 'Drama', 'Mystery']"
53,676,Pearl Harbor,2001-05-21,2001,en,"[10752, 10749, 36, 28]",9.2125,6.938,6869,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.","['War', 'Romance', 'History', 'Action']"
54,11090,The Animal,2001-06-01,2001,en,"[35, 878]",9.9171,5.1,1336,"When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.","['Comedy', 'Science Fiction']"
55,39939,Super Troopers,2001-02-15,2001,en,"[35, 80, 9648]",8.9456,6.558,1193,"Five bored, occasionally high and always ineffective Vermont state troopers must prove their worth to the governor or lose their jobs. After stumbling on a drug ring, they plan to make a bust, but a rival police force is out to steal the glory.","['Comedy', 'Crime', 'Mystery']"
56,141,Donnie Darko,2001-01-19,2001,en,"[14, 18, 9648]",10.7329,7.763,13168,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","['Fantasy', 'Drama', 'Mystery']"
57,8835,Legally Blonde,2001-07-13,2001,en,[35],10.4755,6.809,4423,"Fashionable sorority queen Elle Woods has it all, but, she wants nothing more than to be Mrs. Warner Huntington III. But he dumps her before heading to Harvard Law School. Elle rallies all of her resources and gets into Harvard, determined to win him back. While there, she figures out that there is more to herself than just good looks.",['Comedy']
58,1921,Sweet November,2001-02-16,2001,en,"[18, 10749]",9.0708,6.871,1404,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.","['Drama', 'Romance']"
59,453,A Beautiful Mind,2001-12-14,2001,en,"[18, 10749]",10.971,7.855,10862,"From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.","['Drama', 'Romance']"
60,4248,Scary Movie 2,2001-07-04,2001,en,[35],10.6826,5.812,4984,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",['Comedy']
61,1933,The Others,2001-08-02,2001,en,"[27, 9648, 53]",8.2536,7.616,6997,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","['Horror', 'Mystery', 'Thriller']"
62,24811,Delivering Milo,2001-01-04,2001,en,"[35, 18, 14]",8.3223,5.4,50,A guardian angel has 24 hours to convince a soul that life on Earth is worth the effort.,"['Comedy', 'Drama', 'Fantasy']"
63,183954,Chop Suey,2001-02-11,2001,en,[99],7.2319,4.0,7,"A homage to Bruce Weber's Favourite things, these being mixing film, photography and classic movies. With portraits of a lesbian jazz singer and a 16-year-old wrestler.",['Documentary']
64,2034,Training Day,2001-10-05,2001,en,"[28, 80, 18]",10.5404,7.509,6412,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.","['Action', 'Crime', 'Drama']"
65,5175,Rush Hour 2,2001-08-03,2001,en,"[28, 35, 80]",8.946,6.754,4464,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.","['Action', 'Comedy', 'Crime']"
66,9476,A Knight's Tale,2001-05-11,2001,en,"[12, 18, 10749, 28]",8.3775,6.866,3292,"William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.","['Adventure', 'Drama', 'Romance', 'Action']"
67,9378,Thir13en Ghosts,2001-10-26,2001,en,"[27, 53]",7.5519,6.288,2310,"Arthur and his two children inherit his uncle's estate: a glass house that serves as a prison to twelve ghosts. When the family, accompanied by a nanny and an attorney, enter the house they find themselves trapped inside an evil machine 'designed by the Devil and powered by the dead' to open the Eye of Hell. Aided by a ghost hunter and his rival, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.","['Horror', 'Thriller']"
68,9517,Bully,2001-06-15,2001,en,"[80, 18]",7.7107,6.666,525,"A group of teenagers in South Florida enact a murder plot against their mutual bully, Kent, who has emotionally, physically, and sexually abused them for years.","['Crime', 'Drama']"
69,10691,Crazy/Beautiful,2001-06-29,2001,en,"[18, 10749]",8.4268,6.635,377,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.","['Drama', 'Romance']"
70,11371,The Score,2001-07-13,2001,en,"[28, 80, 53, 9648, 18]",7.9348,6.694,1797,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,"['Action', 'Crime', 'Thriller', 'Mystery', 'Drama']"
71,869,Planet of the Apes,2001-07-26,2001,en,"[53, 878, 28, 12]",7.7642,5.8,4318,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.","['Thriller', 'Science Fiction', 'Action', 'Adventure']"
72,31010,Uprising,2001-11-04,2001,en,"[18, 36, 10752, 10770]",7.2905,6.5,89,"In the Warsaw ghetto in 1943, Jews rise against the Nazis.","['Drama', 'History', 'War', 'TV Movie']"
73,15486,The Bank,2001-09-06,2001,en,"[18, 53]",7.2704,5.61,40,"The Bank, a world ripe with avarice and corruption, where O'Reilly and his ilk can thrive and honest Aussie battlers lose everything. Enter Jim Doyle a maverick mathematician who has devised a formula to predict the fluctuations of the stock market. When he joins O'Reilly's fold, he must first prove his loyalty to the ""greed is good"" ethos. Which way will he go? What does he have to hide?","['Drama', 'Thriller']"
74,60495,Guardian,2001-06-12,2001,en,"[28, 878, 14]",6.9438,5.5,10,"With a spate of violence that rocks the inner city, L.A.P.D. and ex-Marine John Kross investigates its cause: a new drug called Chaos. With help from his partner Carpenter, they delve into the mystery, only to discover a link between the drug and a terrifying supernatural power unleashed during the gulf war, witnessed by Kross twelve years ago. Now, Kross must race against time to stop the destruction, battle his own demons and come to grips with his destiny as he discovers that his reality has been mapped by a power much greater than himself.","['Action', 'Science Fiction', 'Fantasy']"
75,68569,Invincible,2001-12-02,2001,en,"[18, 10752]",7.3624,6.2,58,A Jewish strongman performs in Berlin as the blond Aryan hero Siegfried.,"['Drama', 'War']"
76,59940,Zebra Lounge,2001-10-04,2001,en,[53],7.1181,4.262,42,"Alan and Wendy Barnet have been married just long enough for the excitement to have gone out of their relationship, and they're looking for a way to put some spice back in their lives. After placing a personal ad looking for another couple interested in swapping mates, the Barnets are led to the Zebra Lounge, where they meet Jack and Louise Bauer, a pair of seasoned erotic adventurers. While the Barnets find the swinging scene exciting at first, they soon decide it may be doing more harm than good to their marriage. But easing the Bauers out of their lives proves to be neither simple nor safe.",['Thriller']
77,11397,Not Another Teen Movie,2001-12-07,2001,en,[35],7.0525,5.801,2226,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movies of the 1980s and '90s.",['Comedy']
78,9880,The Princess Diaries,2001-08-03,2001,en,"[35, 10751, 10749]",8.0662,6.963,5201,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.","['Comedy', 'Family', 'Romance']"
79,1903,Vanilla Sky,2001-12-14,2001,en,"[9648, 10749, 878]",6.6199,6.82,4525,"David Aames has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia, his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.","['Mystery', 'Romance', 'Science Fiction']"
80,7451,xXx,2002-08-09,2002,en,"[28, 12, 53, 80, 18]",69.1801,6.0,4778,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","['Action', 'Adventure', 'Thriller', 'Crime', 'Drama']"
