tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
282558,Katthegalu Saar Katthegalu,2003-03-27,2003,kn,[35],0.1855,0.0,0,Katthegalu Saar Katthegalu is a 2003 Kannada film directed by S. V Rajendra Singh Babu and produced by . The film stars Ramesh Aravind and Ruthika in lead roles. Music was composed by Hamsalekha.
1510465,Sri Ram,2003-06-05,2003,kn,"[28, 18]",0.1852,0.0,0,"Shivanna, a simple man from a village, falls for Aishwarya, the daughter of a commissioner. However, Aishwarya gets shocked when her friend reveals Shivanna's true identity on their wedding day."
991710,Ree Swalpa Bartheera,2003-09-03,2003,kn,"[35, 18]",0.1331,0.0,0,
1235100,Kariya,2003-01-03,2003,kn,"[28, 80]",0.393,0.0,0,"Kariya, a gangster falls for a rich dancer Maya, but hesitant to express his love due to his criminal history. Meanwhile his enemies in the echelons of underworld conspire to have him murdered."
691030,Abhi,2003-04-25,2003,kn,"[10749, 35]",0.1503,6.0,2,"Neighbors Abhi and Bhanu fall in love, but Bhanu's father comes to know about it and shifts to Hubli. Later, Bhanu runs away to Bangalore to tell a hidden truth to Abhi."
1361621,Paris Pranaya,2003-04-18,2003,kn,[10749],0.0952,0.0,0,"While studying music in France, a young woman falls in love and learns her uncle's boss wants to marry her."
282556,Olu Saar Bari Olu,2003-11-28,2003,kn,[18],0.1199,0.0,0,
1513543,Yardo Duddu Yellammana Jathre,2003-04-04,2003,kn,"[35, 18]",0.1418,0.0,0,"A house owner requests his tenants to vacate the house so that he can sell it and repay his loan. Soon, a hilarious chain of events follow when the tenants refuse to leave."
680660,Excuse Me,2003-12-05,2003,kn,"[10749, 18, 10402]",0.1367,0.0,0,"Ajay makes a tune which Madhu loves, but she doesn't know who the composer is. Sunil, a selfish brat, pretends to be the composer of the tune in order to woo Madhu."
1501729,Neenandre Ishta,2003-02-07,2003,kn,"[10749, 18]",0.1288,0.0,0,"To pursue her education, Gayatri moves to her childhood friend Ajay's house in the city. However, problems arise when she falls in love with her classmate."
1514680,Raja Narasimha,2003-03-21,2003,kn,"[28, 18]",0.0988,0.0,0,"Though Mahalakshmi is about to get engaged to an NRI, she falls in love with Raja Narasimha, and the two plan on getting married. However, everything changes when Soundarya enters their lives."
824585,Ondagona Baa,2003-10-23,2003,kn,[],0.1505,0.0,0,A Kannada language remake of Telugu blockbuster film Kalisundam Raa (2000).
1504270,Vijaya Simha,2003-12-12,2003,kn,"[28, 18]",0.0712,0.0,0,"""Vijayasimha"" revolves around a young man, played by Vijay Raghavendra, who attempts to reconcile with his mother-in-law, Mayor Meenakshi Devi, who is against his relationship. He ultimately succeeds in winning her over, leading to the reunion of the couple."
716024,Swaathi Mutthu,2003-12-26,2003,kn,"[18, 10751]",0.2949,6.0,1,"Shivayya, who suffers from autism,  impulsively marries Lalitha, a young widow, against the customs of his village. They move to the city to escape from the wrath of the societal judgement."
1321406,Artha(Purpose),2003-12-30,2003,kn,[],0.078,0.0,0,"As the soul of the film is communal harmony Artha has been shot in an ancient fort of Gulbarga where people belonging to different communities are living in the same place. The very reason for choosing this location is to portray the past glory and the present fact on the same plane. Though the story of the film is based on a family of North Karnataka, Suresh has not used their local language to make it more generic as this can be story of any region he says."
1514685,Hrudayavantha,2003-10-02,2003,kn,"[18, 10751]",0.1066,0.0,0,"Vishnu, a poor man, loves his sister and helps her become a doctor. However, Anu is suspicious about her brother's source of income and decides to investigate."
1501723,Laali Haadu,2003-01-24,2003,kn,"[10751, 18, 10402, 10749]",0.1376,0.0,0,"Sangeetha and Anand are madly in love with each other, but they plan to sacrifice their relationship for their parents' sake. However, circumstances try to bring them together."
1501735,Lankesh Pathrike,2003-05-16,2003,kn,"[28, 18]",0.1009,0.0,0,"Preethi, a journalist, falls in love with Indra, her colleague. However, their relationship hits a roadblock when her father, a state chief minister, gets caught in a scandal."
1501741,Namma Preethiya Ramu,2003-11-14,2003,kn,[18],0.0681,0.0,0,"Ramu, a singer with visual impairment, tries to earn a living for his family through his meagre income. However, his life changes when an evil man with hidden motives promises him his eyesight."
1631050,Preethi Prema Pranaya,2003-08-01,2003,kn,[18],0.0413,0.0,0,2003 Indian Kannada-language drama film
627192,Maurya,2004-10-22,2004,kn,"[18, 10749]",4.1298,0.0,0,"Manu, a professional kick-boxer can do anything to fulfill his mother’s wish. Through all the ups and downs, he struggles hard to become the Ultimate Champion."
1499041,Kanti,2004-07-09,2004,kn,"[10749, 18]",3.4411,0.0,0,"The plot revolves around a Kannada college student who upon falling in love with a Marathi girl, gets embroiled politically."
1230476,Kadamba,2004-01-16,2004,kn,[],4.0946,0.0,0,"Rajashekar overhears his police officer father's conversation with his abductor, Sharat Chandra, to kill him. This incident changes the course of his life and turns him into a criminal."
1142451,Sahukara,2004-09-24,2004,kn,[18],3.7572,0.0,0,Sahukara is a 2004 Indian Kannada-language film directed by Om Prakash Rao and produced by K. Manju. It stars V. Ravichandran and Rambha in lead roles.  It was a remake of Tamil film Muthu.
1219383,Durgi,2004-04-28,2004,kn,[28],4.0368,0.0,0,"Durgi was living happily with her family in a small village. But 2 businessmen entered the village to make a sugar mill. They used to be drunk always. One day, they raped her sister and she died in hospital. When Durgi and her family were in agony, they killed Durgi's father. After this, she promises to kill everyone."
340922,Omkara,2004-09-18,2004,kn,[],3.7926,0.0,0,A 2004 Kannada movie.
1499064,Bhagavan,2004-08-06,2004,kn,"[28, 18]",3.017,0.0,0,"When Bhagawan, an unemployed man, rescues a film actress, Nanditha, from a few unruly thugs, she falls in love with him."
1499109,Pakkadmane Hudugi,2004-08-20,2004,kn,[35],3.1336,0.0,0,"Balu, a 26-year-old bachelor, falls in love with his neighbour's daughter, Indu. He decides to woo her with the help of his music composer friend, Chakravarthy."
1502616,Dharma,2004-03-05,2004,kn,"[28, 18]",2.2851,0.0,0,"Dharma, a gangster, is challenged by Sindhu to write a poem in exchange for her house, which he forcibly wants to extort. As he continues to write, he experiences a life transformation."
303345,Monalisa,2004-05-07,2004,kn,[10749],1.8654,2.0,2,"Dyan's relationship ends when his girlfriend, Monalisa, dies in an accident. In order to fulfil his parent's wishes, he marries Spandana, who turns out to be an exact lookalike of Monalisa."
